timestamp,vibration,temperature
2004.02.12.10.32.39,0.05833,46.16
2004.02.12.10.42.39,0.059,45.99
2004.02.12.10.52.39,0.06024,47.32
2004.02.12.11.02.39,0.06145,48.0
2004.02.12.11.12.39,0.06136,46.09
2004.02.12.11.22.39,0.06167,46.85
2004.02.12.11.32.39,0.06194,47.75
2004.02.12.11.42.39,0.06123,46.45
2004.02.12.11.52.39,0.06228,48.18
2004.02.12.12.02.39,0.05989,46.36
2004.02.12.12.12.39,0.06237,46.04
2004.02.12.12.22.39,0.06084,47.97
2004.02.12.12.32.39,0.06109,48.49
2004.02.12.12.42.39,0.0626,48.89
2004.02.12.12.52.39,0.06234,46.3
2004.02.12.13.02.39,0.06163,47.65
2004.02.12.13.12.39,0.06188,47.0
2004.02.12.13.22.39,0.06124,46.96
2004.02.12.13.32.39,0.06147,48.36
2004.02.12.13.42.39,0.06184,46.38
2004.02.12.13.52.39,0.06221,46.3
2004.02.12.14.02.39,0.06262,47.87
2004.02.12.14.12.39,0.06251,46.59
2004.02.12.14.22.39,0.0626,48.67
2004.02.12.14.32.39,0.06245,48.88
2004.02.12.14.42.39,0.06133,47.9
2004.02.12.14.52.39,0.06145,47.64
2004.02.12.15.02.39,0.06129,47.44
2004.02.12.15.12.39,0.0619,47.2
2004.02.12.15.22.39,0.06189,47.56
2004.02.12.15.32.39,0.06173,46.44
2004.02.12.15.42.39,0.06321,46.29
2004.02.12.15.52.39,0.06069,46.31
2004.02.12.16.02.39,0.06227,47.69
2004.02.12.16.12.39,0.06153,48.74
2004.02.12.16.22.39,0.06151,45.9
2004.02.12.16.32.39,0.06063,47.09
2004.02.12.16.42.39,0.06269,48.48
2004.02.12.16.52.39,0.06122,46.57
2004.02.12.17.02.39,0.06141,46.58
2004.02.12.17.12.39,0.06158,45.97
2004.02.12.17.22.39,0.06192,47.22
2004.02.12.17.32.39,0.06115,47.7
2004.02.12.17.42.39,0.06146,47.4
2004.02.12.17.52.39,0.06138,46.52
2004.02.12.18.02.39,0.06012,47.03
2004.02.12.18.12.39,0.06227,48.84
2004.02.12.18.22.39,0.0608,47.73
2004.02.12.18.32.39,0.06178,46.07
2004.02.12.18.42.39,0.06063,46.29
2004.02.12.18.52.39,0.06151,48.54
2004.02.12.19.02.39,0.06163,46.71
2004.02.12.19.12.39,0.06239,47.51
2004.02.12.19.22.39,0.06058,48.61
2004.02.12.19.32.39,0.06035,45.75
2004.02.12.19.42.39,0.06146,45.84
2004.02.12.19.52.39,0.06092,46.25
2004.02.12.20.02.39,0.06096,46.43
2004.02.12.20.12.39,0.0602,45.83
2004.02.12.20.22.39,0.06161,48.14
2004.02.12.20.32.39,0.06209,48.57
2004.02.12.20.42.39,0.06078,47.47
2004.02.12.20.52.39,0.06226,47.46
2004.02.12.21.02.39,0.06065,46.89
2004.02.12.21.12.39,0.06084,46.45
2004.02.12.21.22.39,0.06068,47.79
2004.02.12.21.32.39,0.06081,48.42
2004.02.12.21.42.39,0.06051,46.48
2004.02.12.21.52.39,0.06051,47.96
2004.02.12.22.02.39,0.06075,48.61
2004.02.12.22.12.39,0.0594,46.07
2004.02.12.22.22.39,0.06053,46.71
2004.02.12.22.32.39,0.06077,45.9
2004.02.12.22.42.39,0.06174,48.78
2004.02.12.22.52.39,0.06189,47.88
2004.02.12.23.02.39,0.06124,46.73
2004.02.12.23.12.39,0.06041,46.14
2004.02.12.23.22.39,0.06159,48.53
2004.02.12.23.32.39,0.06002,47.79
2004.02.12.23.42.39,0.06084,45.76
2004.02.12.23.52.39,0.06049,45.79
2004.02.13.00.02.39,0.05913,45.73
2004.02.13.00.12.39,0.06068,48.43
2004.02.13.00.22.39,0.06073,45.76
2004.02.13.00.32.39,0.0611,46.53
2004.02.13.00.42.39,0.06075,46.26
2004.02.13.00.52.39,0.06091,47.94
2004.02.13.01.02.39,0.05888,48.19
2004.02.13.01.12.39,0.06084,46.76
2004.02.13.01.22.39,0.06119,46.51
2004.02.13.01.32.39,0.06206,47.51
2004.02.13.01.42.39,0.06006,47.3
2004.02.13.01.52.39,0.06058,46.3
2004.02.13.02.02.39,0.05936,48.23
2004.02.13.02.12.39,0.06148,46.82
2004.02.13.02.22.39,0.06068,48.04
2004.02.13.02.32.39,0.06147,46.66
2004.02.13.02.42.39,0.06037,47.24
2004.02.13.02.52.39,0.06107,48.38
2004.02.13.03.02.39,0.05984,46.22
2004.02.13.03.12.39,0.06109,48.0
2004.02.13.03.22.39,0.06035,46.1
2004.02.13.03.32.39,0.06018,45.54
2004.02.13.03.42.39,0.06026,46.93
2004.02.13.03.52.39,0.06068,47.72
2004.02.13.04.02.39,0.06119,47.25
2004.02.13.04.12.39,0.0604,47.05
2004.02.13.04.22.39,0.05983,47.45
2004.02.13.04.32.39,0.05987,47.15
2004.02.13.04.42.39,0.06104,47.47
2004.02.13.04.52.39,0.0601,48.01
2004.02.13.05.02.39,0.06014,48.25
2004.02.13.05.12.39,0.06129,46.85
2004.02.13.05.22.39,0.05983,48.43
2004.02.13.05.32.39,0.06035,47.36
2004.02.13.05.42.39,0.0595,48.15
2004.02.13.05.52.39,0.06227,46.04
2004.02.13.06.02.39,0.06069,48.62
2004.02.13.06.12.39,0.06115,46.38
2004.02.13.06.22.39,0.06068,45.69
2004.02.13.06.32.39,0.06059,46.73
2004.02.13.06.42.39,0.06125,46.81
2004.02.13.06.52.39,0.06141,46.2
2004.02.13.07.02.39,0.06221,46.54
2004.02.13.07.12.39,0.06034,47.06
2004.02.13.07.22.39,0.0606,46.97
2004.02.13.07.32.39,0.06021,45.73
2004.02.13.07.42.39,0.05998,45.95
2004.02.13.07.52.39,0.06021,48.31
2004.02.13.08.02.39,0.05926,46.85
2004.02.13.08.12.39,0.0601,47.91
2004.02.13.08.22.39,0.05988,45.48
